Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OR,2015,"12        ",Male,17,Right-Handed,186,29.5,185,1.5,Boat,27,.12,30,Rowing,500,500,500,500,500,500,29.5,"Same length",,,"Same length",October,Spring,No,No,Meat,Water,"Computers and technology",7,4,5,"Yes - broadband connection","In person",75,100,21,,,,,,,,,,,,,,,,,,
USA,KS,2015,"12        ",Female,17,Right-Handed,157,21,139,1,Car,5,0.401,58,Lacrosse,2,1,3,4,6,5,21,"Same length",63,68,"Ring finger",May,Fall,Yes,No,Seafood,Water,Science,5.5,9,3,"Yes - broadband connection","Text messaging",1337,1361,10,1,5,2,3,0,0,15,24,1,0,5,"A lot","Graduate degree",Country,"Freeze time",Happy,Relative,Environment
USA,NH,2015,"12        ",Male,17,Right-Handed,158,23,156,2,Bus,20,0.34,33,Skateboarding/Rollerblading,950,800,800,900,800,750,23,"Same length",83,83,"Same length",January,Fall,No,No,Seafood,Milk,Languages,8,11,3,"Yes - broadband connection","Internet chat or instant messaging",3,3,4,0.5,12,7,0,12,3,7,2,1,0,0,"A lot","Undergraduate degree",Techno/Electronic,"Freeze time",Happy,Relative,"International aid"
USA,NC,2015,"12        ",Female,17,Right-Handed,159,23,171,1,Walk,5,.364,38,Other,652,401,567,645,850,897,23,"Same length",6.8,7.6,"Ring finger",June,Fall,No,Yes,Pizza/Pasta,Water,Science,5,9,6,"Yes - broadband connection","Internet chat or instant messaging",120,130,15,0,20,0,10,0,4,3,20,2,0,2,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Environment
USA,TX,2015,"12        ",Male,17,Right-Handed,177.8,30.48,182.8,1,Car,5,.257,42,Basketball,250,250,500,500,1000,10000,30.25,"Left foot",63.5,63.3,"Ring finger",October,Summer,Yes,No,Meat,"Sports drink",Science,7,12,6,"Yes - broadband connection","Text messaging",30,30,12,8,1,12,25,12,0,6,3,6,30,2,Some,"Graduate degree","Rap/Hip hop","Super strength",Happy,"Community leader or elder","Wildlife, animals"
USA,RI,2015,"12        ",Female,18,Right-Handed,160,24,177,1,Bus,30,.932,38,"Martial Arts",800,800,900,1000,500,700,23,"Right foot",70,60,"Index finger",May,Fall,Yes,No,Meat,Water,"Mathematics and statistics",6,8,8,"Yes - other","Cell phone",170,200,"72 ",1,4,5,3,0,40,40,80,3,30,10,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,"Religious figure",Religious
USA,CO,2015,"12        ",Female,17,Right-Handed,163,,,1,Car,10,0.387,43,Basketball,,,,,,,,"Same length",,,"Ring finger",February,Spring,No,No,Pizza/Pasta,Water,Art,7,9,6,"Yes - other","Text messaging",,,,,,,,,,,,,,,Some,"Graduate degree",Country,Telepathy,Rich,Relative,Religious
USA,MA,2015,"12        ",Male,18,Left-Handed,180,29,187,1,Walk,3,.353,40,Basketball,0,500,500,500,1000,1000,29,"Same length",70,80,"Ring finger",December,Winter,Yes,No,Meat,Water,"Mathematics and statistics",5,9,3,"Yes - broadband connection","Text messaging",250,250,19,1,14,15,30,5,2,10,10,8,0,3,Some,"Undergraduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,CA,2015,"12        ",Female,16,Right-Handed,160,22,158,2,Car,15,.373,43,Dancing,800,400,600,900,200,500,22,"Same length",59,59,"Same length",September,Winter,No,No,Desserts,Water,History,8,8,4,"Yes - broadband connection","In person",31,38,2,.2,10,5,8,0,5,2,10,2,0,1,Some,"Undergraduate degree",Other,Telepathy,Healthy,Relative,"International aid"
USA,OH,2015,"12        ",Male,17,Right-Handed,77,27,72,1,Car,17,.363,50,Golf,800,800,800,800,650,650,27,"Same length",100,100,"Same length",February,Winter,Yes,No,Pizza/Pasta,Other,Art,6.25,9,3,"Yes - broadband connection","Text messaging",15,15,60,3,25,20,0,0,10,10,25,5,15,5,"A lot","Undergraduate degree","Rap/Hip hop",Telepathy,Happy,"Business person","Arts, culture, sports"
USA,OK,2015,"12        ",Male,17,Right-Handed,190,29,195,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
